Unnamed: 0,year,month,day,country,title,text
16,2002,2,11,us,pa firm recal ravioli undeclar allergen incorret label,"washington feb. conagra groceri product co. milton pa. establish voluntarili recal approxim 386,000 pound can ravioli contain undeclar allergen soy protein incorrectli label u.s. depart agricultur food safeti inspect servic announc today soy protein known allergen person allergi sever sensit soy protein run risk possibl allerg reaction consum product product recal 15-ounc can `` chef boyarde fat free chees ravioli tomato sauc '' actual contain 15-ounc beef ravioli bottom bear establish code `` '' follow case code `` j17101 rf '' ravioli produc oct. distribut retail establish nationwid product also export haiti guatemala bermuda `` urg consum especi allerg sensit soy check cupboard pantri '' said margaret ok. glavin act fsi administr `` find product list consum eat return point purchas '' conagra identifi label problem custom notifi compani mislabel consum question recal may contact conagra consum hotlin 414-2500 medium question may contact kay carpent corpor commun 437-1144 consum food safeti question phone toll-fre usda meat poultri hotlin l-800-535-4555 hotlin reach l0 a.m. p.m. eastern time monday friday record food safeti messag avail hour day note access news releas inform fsi web site http //www.fsis.usda.gov food allergi consum food allergi sever food sensit alway read ingredi label restaur ask whether allergy-caus ingredi food food allergi occur immun system react certain food usual within minut food consum symptom may includ throat swell troubl breath rash strictli avoid allergy-caus food absolut way avoid reaction sever food account allerg reaction includ peanut tree nut walnut pecan etc fish shellfish egg milk soy wheat person sever life-threaten food allergi alway carri know administ prescript epinephrin"
17,2002,3,11,au,rose valley chees co—romano chees wheel,pra 2002/5242 date publish mar product descript 2.5kg chees wheel cover plastic emuls brush coat sold factori outlet south east outer metro region perth distribut store sold februari defect product may contamin e. coli hazard contamin consum use product return point purchas full refund inform contact rose valley chees co supplier rose valley chees co product sold western australia coordin agenc food standard australia new zealand coordin agenc recal product categori egg dairi × close
18,2002,10,29,au,manassen food australia pti ltd—australian garlic bread,pra 2002/5794 date publish oct product descript twin pack 400g net variou use date 08/12/02 15/12/02 defect incorrect use date detect two batch product test indic product may spoil caus mould contamin use date packag hazard contamin consum return product point purchas immedi cash refund inform pleas call supplier manassen food australia pti ltd product sold australian capit territori new south wale coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
19,2002,11,15,na,product recal cotswold spring natur miner water aquaid cotswold natur miner water,product recal cotswold spring natur miner water aquaid cotswold natur miner water friday novemb categori inform head environment health servic director trade standard wish awar product recal j h marshal thornburi ltd bottl water product bacteri contamin compani issu press releas today see product recal notic appear medium press releas issu j h marshal thornburi ltd product recal cotswold spring natur miner water aquaid cotswold natur miner water precaut jh marshal thornburi ltd recal bottl water product product recal undertaken advic food standard agenc consid water may pose health risk member public follow brand affect recal cotswold spring natur miner water aquaid cotswold natur miner water specif product best date bottl cap 18/09/03 28/10/03 bottl glass plastic size 330ml litr still sparkl water recal recal affect bottl water sold shop water cooler bottl sold busi brand name affect custom ask consum affect product return bottl place purchas refund inform contact custom advic line compani apologis custom inconveni caus withdraw product back top note editor jh marshal thornburi ltd produc cotswold spring aquaid cotswold brand small region bottler cotswold spring outsid top bottl water brand uk market share 0.6 sourc zenith intern distribut focus west countri london west midland small amount product also sold manchest aquaid cotswold natur miner water bottl 330ml – litr minor distribut east anglia compani would like re-iter water cooler bottl sold busi brand name affect jh marshal thornburi ltd bottl water year time exemplari record deliv high qualiti bottl water custom inform contact john marshal '' back top
20,2002,11,25,au,delphic wholesal aust pti ltd—fetta chees parmesan chees,pra 2002/5841 date publish nov product descript delphic star brand skim milk fetta wedg approx 250-330 gram mil lel brand superior parmesan wedg approx 250-300 gram best date may may may defect presenc listeria monocytogen detect may caus ill pregnant woman young elderli peopl low immun system hazard contamin consum consum product return product point purchas immedi full cash refund inform pleas call supplier delphic wholesal aust pti ltd product sold victoria coordin agenc food standard australia new zealand coordin agenc recal product categori egg dairi × close
21,2002,11,27,au,uncl tobys—oat temptat select pack,pra 2002/5848 date publish nov product descript uncl tobi oat temptat select pack breakfast cereal 480gm use date 26-08-03 defect one particular batch specif use date 26-08-03 contain appl custard sachet incorrectli label french vanilla bake appl result batch may contain egg protein label hazard advers reaction consum consum allerg egg protein consum product consum enquiri request refund call email consumer.advisori goodmanfielder.com.au supplier goodman fielder ltd product sold nation coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
22,2002,12,18,au,fantast snacks—70g cup noodl suimin 70g cup noodl,pra 2002/5884 date publish dec product descript chicken chicken mushroom orient prawn chicken beef curri prawn chicken corn bacon flavour use date 24/9/03 10/03/04 defect product may contain small metal piec hazard contamin consum return product place purchas full refund inform pleas call supplier fantast snack product sold nation coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
23,2003,1,28,au,kenman—black gold parti mix lolli bol kmart parti lolli,pra 2003/5944 date publish jan product descript kenman fun share best valu parti mix 450g bag bbd decemb 750g bag bbd januari 1kg bag bbd octob black gold 500g parti mix bag bbd januari 200g parti mix bag defect jelli product mix contain egg albumen declar ingredi list allergi warn statement packag peopl allergi egg consum product hazard advers reaction consum consum product return product point purchas full refund inform pleas contact kenman kandi free call supplier kenman kandi australia pti ltd product sold nation coordin agenc food standard australia new zealand coordin agenc recal product categori confectioneri × close
24,2003,3,19,au,black gold—pasta sauc,pra 2003/6047 date publish mar product descript gram glass jar use jan jan feb print lid sold wa defect recal due label error packag one ingredi product contain fish protein declar label product otherwis safe consum peopl allergi fish consum product hazard advers reaction consum return product point purchas full refund inform pleas contact wisem food pti ltd ph supplier wisem food pti ltd product sold western australia coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
25,2003,5,29,au,maggi beer—tomato pasta sauc tomato pasta sauc chilli,pra 2003/6219 date publish may product descript maggi beer product brand tomato pasta sauc tomato pasta sauc chilli 500ml glass jar use 4/8/04 20/09/04 28/9/04 4/10/04 1/11/04 2/11/04 5/11/04 20/3/05 500ml glass jar defect product may contain sharp foreign bodi plant origin hazard contamin consum plant matter sharp natur could caus discomfort consum consum ask consum product return product point purchas immedi full refund supplier maggi beer product product sold nation coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
26,2003,6,25,au,uncl tobys—porridg plu varieti pack,pra 2003/6274 date publish jun product descript gram best date 18-12-03 19-12-03 20-12-03 recal specif best date appli consum egg protein allergi defect contain appl custard sachet may compris egg ingredi formul declar packet hazard allerg reaction consum consum allerg egg protein consum product pleas call full refund inform supplier goodman fielder consum food product sold nation coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
27,2003,7,11,au,byrn wholesal meats—cook slice silversid cook slice turkey,pra 2003/6315 date publish jul product descript use date 3/7/2003 sold clear vacuum pack random weight 250gm 500gm sold queensland cairn area defect listeria monocytogen detect listeria monocytogen may caus ill pregnant woman young elderli peopl low immun system hazard contamin consum return product place purchas full refund supplier byrn wholesal meat product sold queensland coordin agenc food standard australia new zealand coordin agenc recal product categori meat seafood deli × close
28,2003,9,30,au,mr quick food pti ltd—unbak premium pork beef sausag roll scroll,pra 2003/6499 date publish sep product descript 750g unbak premium pork sausag roll date includ 6.12.03 distribut queensland 900g unbak premium beef sausag scroll date includ 27.08.04 distribut queensland western australia defect product contain undeclar soy protein consum suffer soy protein allergi intoler consum product hazard allerg reaction consum consum soy protein allergi intoler consum product return product place purchas full refund inform pleas contact mr quick food supplier mr quick food pti ltd product sold nation coordin agenc food standard australia new zealand coordin agenc recal product categori chill frozen × close
29,2003,12,4,au,sunsol—natur fruiti muesli,pra 2003/6653 date publish dec product descript 750gm best oct batch locat best date packet first digit string number product marketplac approx month distribut safeway store victoria tasmania defect possibl batch may contain ingredi nut includ peanut list ingredi label presenc peanut may caus allerg reaction peopl hazard allerg reaction consum pleas return product point purchas full refund inform pleas contact sunsol toll free supplier meriram pti ltd t/a sunsol product sold tasmania victoria coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
30,2004,1,6,au,azzura gelati—celebr ice cream cake,pra 2004/6713 date publish jan product descript azzura gelati brand 1.25l celebr ice cream cake use date dec batch plastic contain pink cardboard box sold western australia defect high e. coli bacteri count hazard contamin consum consum product return product place purchas full refund inform pleas call azzura gelati supplier azzura gelati product sold western australia coordin agenc food standard australia new zealand coordin agenc recal product categori chill frozen × close
31,2004,1,6,au,d'orsogna—shav bbq chicken,pra 2004/6712 date publish jan product descript 100g ga flush pack use date jan jan distribut via major retail western australia defect test indic presenc listeria monocytogen listeria monocytogen may caus ill pregnant woman young elderli peopl low immun system hazard contamin consum consum product return product place purchas full refund inform contact d'orsogna ltd supplier d'orsogna ltd product sold western australia coordin agenc food standard australia new zealand coordin agenc recal product categori meat seafood deli × close
32,2004,1,19,au,lowan—cocoa bomb breakfast cereal,pra 2004/6739 date publish jan product descript lowan whole food cocoa bomb 350gm packet best date includ p sold retail outlet defect product inform packet cocoa bomb carri best date includ p advis consum contain skim milk milk protein consum peopl suffer milk protein intoler hazard allerg reaction consum consum milk protein allergi intoler advis return product place purchas full cash refund inform call toll free inform number supplier lowan aust limit product sold nation coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
33,2004,3,19,na,product withdraw dasani bottl still water,product withdraw dasani bottl still water friday march categori inform ref 12/2004 head environment health servic director trade standard wish awar product withdraw coca-cola compani dasani brand bottl still water product found contain rais level bromat exceed permit quantiti state natur miner water spring water bottl drink water regul amend product sale throughout uk retail outlet vend machin product recal dasani bottl still water coca cola product known affect local author may wish refer food standard agenc 's web statement q regard dasani water attach coca-cola compani issu press statement see attach addit consum care line set compani number product withdraw statement issu coca-cola compani voluntari withdraw dasani uk 11.45 friday march ensur product highest qualiti provid consum coca-cola voluntarili withdraw dasani product current marketplac uk withdraw began friday march 80-85 per cent complet within hour calcium legal requir bottl water product uk includ dasani deliv requir calcium add back calcium chlorid product detail analysi discov product meet qualiti standard high level bromid contain calcium chlorid deriv bromid bromat form level exceed uk legal standard occur ozonis process employ manufactur immedi identifi issu consult food standard agenc fsa confirm immedi health safeti issu withdraw precautionari measur consum concern wish return product purchas contact free phone consum care line care line number appear dasani pack work close stockist remov product marketplac withdraw affect dasani uk market consum rightli expect product meet highest possibl standard qualiti well uk regul relat link dasani bottl still water view product imag 97kb dasani question answer
34,2004,6,25,us,archiv,"recal notif report 020-2004 amend jun notif level product recal kid cuisin frozen dinner new twist twirl spaghetti meatbal product dates/identifi code produc may may june product subject recal stamp packag code problem/reason recal undeclar allergen walnut piec browni compon packag spaghetti meatbal how/when discov routin qualiti assur check establish reveal walnut browni packag spaghetti meatbal declar label feder establish p-9 conagra food north banquet drive marshal mo consum contact stephani siedschlag director 1-800-414-2500 medium contact tania graf commun director 595-6258 quantiti recal approxim 106,000 pound distribut nationwid recal classif class recal notif level retail press releas missouri firm recal frozen dinner due undeclar allergen direct notif mean firm notifi custom oral follow write fsi follow-up activ effect check fsi offic field oper ofo agenc involv none fsi contact compliance/recal coordin 841-5600recal manag staff 690-6389media inquiri 720-9113congression inquiri 720-3897consum inquiri 1-888-mphotlin 1-888-674-6854 tti 1-800-256-7072web site http //www.fsis.usda.gov/ fsi main page http //www.fsis.usda.gov/fsis_recalls/ recal inform date recal meet june recal case number 020-2004"
35,2004,8,26,us,archiv,"recal notif report 034-2004 product recal frozen fulli cook chicken breast strip product dates/identifi code packag juli product recal oz packag `` new banquet chicken breast strip bread chicken breast patti rib meat origin '' product bear `` best use '' date either `` jul '' `` jul '' packag bear establish code `` p-107 `` oz packag `` made chicken breast rib meat banquet chicken breast strip origin '' product bear `` best use '' date `` jul '' `` jul '' packag bear establish code `` p-107 `` note report updat aug. clarifi two product code involv recal product subject recal bear one follow upc code `` '' `` '' problem/reason recal product may contamin piec metal how/when discov problem discov fsi compani receiv consum complaint report injuri feder establish p conagra food vine street macon mo consum contact compani 's consum inform line 1-800-414-7500 medium contact tania graf commun director 595-6258 quantiti recal approxim 85,600 pound distribut nationwid recal classif class recal notif level retail press releas missouri firm recal chicken breast may contain piec metal direct notif mean firm notifi custom oral follow write fsi follow-up activ effect check fsi offic field oper ofo agenc involv none fsi contact compliance/recal coordin 841-5600recal manag staff 690-6389media inquiri 720-9113congression inquiri 720-3897consum inquiri 1-888-mphotlin 1-888-674-6854 tti 1-800-256-7072web site http //www.fsis.usda.gov/ fsi main page http //www.fsis.usda.gov/fsis_recalls/ recal inform date recal meet august recal case number 034-2004"
36,2005,2,1,au,big w target—glass jar pasta compani hamper,pra 2005/7528 date publish feb product descript festiv flair hamper three bottl basket hamper decad delight shine star christma cheer hamper festiv favourit hamper season highlight defect may contain larva foreign insect hazard possibl infest consum purchas hamper big w pleas call purchas hamper target pleas call supplier big w target product sold nation respons regul australian competit consum commiss respons regul recal product categori groceri × close
37,2005,2,8,au,woolworth limitedminc beef minc regular 34pkt beef minc premium minc 47pkt heart smart minc beef pkt minc lamb pkt minc pork pkt,pra 2005/7540 date publish feb product descript beef minc regular 34pkt beef minc premium minc 47pkt heart smart minc beef pkt minc lamb pkt minc pork pkt use date februari assort pack polystyren tray clear plastic wrap defect potenti contamin metal fragment hazard metal fragment consum return paralowi woolworth supermarket full refund contact supplier woolworth supermarket product sold nation coordin agenc food standard australia new zealand coordin agenc recal product categori meat seafood deli × close
38,2005,5,10,au,vj seafoods—spanish mackerel steaks/cutlet,pra 2005/7735 date publish may product descript sold loos seafood counter vj seafood mt gravatt plaza wrap paper defect ciguatera food poison hazard food poison consum return place purchas full refund supplier vj seafood product sold queensland coordin agenc food standard australia new zealand coordin agenc recal product categori meat seafood deli × close
39,2005,5,17,au,action supermarkets—sausages—bbq thin beef barbequ sausag,pra 2005/7739 date publish may product descript variou size flow wrap packet use date 14/02/2005 20/05/2005 defect undeclar allergen gluten hazard allerg reaction consum return place purchas full refund supplier action supermarket product sold new south wale queensland coordin agenc food standard australia new zealand coordin agenc recal product categori meat seafood deli × close
40,2005,6,21,au,univers clearanc company—corn pappadum bombay mix flavour,pra 2005/7824 date publish jun product descript shikar brand packag cardboard cylind 40g best feb product distribut via 'the warehous chain defect undeclar gluten consum return place purchas full refund supplier univers clearanc compani product sold australian capit territori new south wale queensland victoria coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
41,2005,8,26,na,britvic soft drink ltd recal two flavour tango carbon drink due possibl ferment,britvic soft drink ltd recal two flavour tango carbon drink due possibl ferment friday august food alert inform ref 43/2005 britvic soft drink ltd recal two flavour tango carbon drink due possibl product contain naturally-occur yeast might gener build carbon dioxid could distort burst packag britvic soft drink ltd undertaken product recal affect item product recal notic place nation press today notic advis custom reason recal action take alreadi purchas affect product product withdrawn tango cherri 330ml best end date june juli tango fruit fling 330ml best end date june juli flavour packag format tango known affect britvic� consum care line contact arrang reimburs copi britvic soft drink ltd product recal notic attach relat link product recal notic issu britvic soft drink ltd pdf file 33kb pdf 33kb get adob acrobat readery may need free acrobat reader view pdf
42,2005,9,27,au,trade co pti ltd—pati tong—shrimp past,pra 2005/8067 date publish sep product descript best 18/7/07 sold plastic jar 227g carton import defect possibl microbi contamin hazard ill consum return place purchas full refund supplier trade co pti ltd product sold queensland coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
43,2005,12,1,us,recal notif report 052-2005,"recal notif report expand decemb includ addit product produc octob decemb 2005.product recal turkey ham bologna chicken lunch maker meal product dates/identifi code produc variou date octob 13th decemb 3rd follow product subject expand recal distribut retail store nationwid 2.6-ounc packag `` armour lunch makers® cracker cruncher cook ham contain nestle® crunch® bar '' packag bear establish number `` est '' insid usda seal inspect product code `` '' sell date `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb `` feb '' `` feb '' `` feb '' `` feb 2.6-ounc packag `` armour lunch makers® cracker cruncher bologna contain nestle® butterfinger® bar '' packag bear establish number `` p-9 '' insid usda seal inspect product code `` '' sell date `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' 2.6-ounc packag `` armour lunch makers® cracker cruncher turkey contain nestle® butterfinger® bar '' packag bear establish number `` p-9 '' insid usda seal inspect product code `` sell date `` jan '' `` jan '' `` jan 09,2006 '' `` jan '' `` jan '' `` jan '' `` jan 26,2006 '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' 2.6-ounc 8-fluid ounc packag `` armour lunch makers® bologna fun kit cracker cruncher bologna '' packag also contain nestle® crunch® bar hawaiian punch® fruit drink packag bear establish number `` p-9 '' insid usda seal inspect product code `` '' sell date `` jan '' `` jan '' `` jan '' `` feb '' `` feb '' `` feb '' 2.6-ounc 8-fluid ounc packag `` armour lunch makers® ham fun kit cracker cruncher cook ham '' packag also contain nestle® butterfinger® bar hawaiian punch® fruit drink packag bear establish number `` est '' insid usda seal inspect product code `` '' sell date `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` feb '' `` feb '' `` feb '' `` feb '' 2.6-ounc 8-fluid ounc packag `` armour lunch makers® turkey fun kit cracker cruncher turkey '' packag also contain nestle® crunch® bar hawaiian punch® fruit drink packag bear establish number `` p-9 '' insid usda seal inspect product code `` '' sell date `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` jan '' `` feb '' `` feb '' `` feb '' `` feb '' 2.6-ounc packag `` armour lunch makers® cracker cruncher chicken contain nestle® crunch® bar '' packag bear establish number `` p-9 '' insid usda seal inspect product code `` '' sell date `` jan '' `` jan '' `` jan '' jan '' `` jan '' `` jan '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' `` feb '' product subject origin recal decemb 2.6-ounc packag `` armour lunch makers® cracker cruncher cook ham contain nestle® crunch® bar '' packag bear establish number `` est '' insid usda seal inspect sell date `` feb '' `` feb '' `` feb '' `` feb '' packag also bear product code `` '' 2.6-ounc packag `` armour lunch makers® cracker cruncher turkey contain nestle® butterfinger® bar '' packag bear establish number `` p-9 '' insid usda seal inspect sell date `` feb '' `` feb '' packag also bear product code `` '' 2.6-ounc 8-fluid ounc packag `` armour lunch makers® bologna fun kit cracker cruncher bologna '' packag also contain nestle® crunch® bar hawaiian punch® fruit drink packag bear establish number `` p-9 '' insid usda seal inspect sell date `` feb '' packag also bear product code `` '' 2.6-ounc 8-fluid ounc packag `` armour lunch makers® ham fun kit cracker cruncher cook ham '' packag also contain nestle® butterfinger® bar hawaiian punch® fruit drink packag bear establish number `` est '' insid usda seal inspect sell date `` feb '' `` feb '' packag also bear product code `` '' 2.6-ounc 8-fluid ounc packag `` armour lunch makers® turkey fun kit cracker cruncher turkey '' packag also contain nestle® crunch® bar hawaiian punch® fruit drink packag bear establish number `` p-9 '' insid usda seal inspect sell date `` feb '' packag also bear product code `` '' problem/reason recal product may contamin listeria monocytogen how/when discov problem discov compani 's intern investig identifi root caus decemb voluntari recal feder establish 01059m 00009p conagra food north banquet drive marshal mo consum contact krystal sauter director consum affair 595-6751 medium contact tania graf commun director 595-6258 quantiti recal approxim 2.8 million pound includ origin 9,550 pound quantiti recov firm report recoveri 1,911,519 pound distribut nationwid recal classif class recal notif level retail press releas missouri firm expand recal meat lunch maker product possibl listeria contamin direct notif mean firm notifi custom verbal follow-up write fsi follow-up activ effect check fsi offic field oper ofo agenc involv fda fsi contact fsi recal coordin 841-5600recal manag 690-6389media inquiri 720-9113congression inquiri 720-3897consum inquiri 1-888-mphotlin 1-888-674-6854 tti 1-800-256-7072web site http //www.fsis.usda.gov/ fsi main page http //www.fsis.usda.gov/fsis_recalls/ recal inform date recal meet decemb recal case number 052-2005"
44,2006,2,6,au,golden circl ltd—junior meal mates—vari product,pra 2006/8308 date publish feb product descript veget bean beef year 220g junior meal mate pear rice mango pud year 170g glass jar 3rd food risotto vegtabl beef month 170g glass jar best date includ 03/01/08 sold cole woolworth metcash puriti ta iga franklin statewid product marketplac approxim month defect product may contain small piec soft plastic hazard choke consum return place purchas full refund supplier golden circl ltd product sold nation coordin agenc food standard australia new zealand coordin agenc recal product categori groceri × close
45,2006,3,7,us,mar 7_ 2006_ new jersey firm recal meatbal products____,"washington march unilev unit state inc. englewood cliff n.j. voluntarili recal approxim 560,604 pound meatbal pasta product due undeclar allergen egg white lysozym u.s. depart agriculture food safeti inspect servic announc today product label specif state egg white lysozym allergen ingredi follow product subject recal 24-ounc bag bertolli meatbal pomodoro penn pepper onion tomato basil sauc complet skillet meal two. label includ establish number est 21340 insid usda mark inspect label also includ one follow best use date sep  dec  dec  dec  jan  feb 07 feb 07. view label pdf food allergi consum food allergi sever food sensit alway read ingredi label restaur ask whether allergy-caus ingredi food food allergi occur immun system react certain food usual within minut food consum symptom may includ throat swell breath troubl rash strictli avoid allergy-caus food absolut way avoid reaction sever food account allerg reaction includ peanut tree nut walnut pecan etc fish shellfish egg milk soy wheat person sever life-threaten food allergi alway carri know administ prescript epinephrin product produc variou date septemb decemb januari februari sold retail establish nationwid nation custom packag inc. castrovil calif. establish est serf co-pack unilev unit state inc. bertolli brand product packag product subject recal problem discov supplier notifi compani fsi report ill due consumpt product anyon concern allerg reaction contact physician consum question recal call bertolli toll-fre recal hotlin 837-7592 medium question recal call unilev unit state inc. associ manag commun sabrina glavin 995-4483"
