Classification Report for hazard_text_tuning:                                                   precision    recall  f1-score   support
                                    pistachio nut       0.67      1.00      0.80         6
                                 plastic fragment       0.75      0.91      0.82        81
                 polycyclic aromatic hydrocarbons       1.00      1.00      1.00         8
                              poor hygienic state       0.80      0.67      0.73         6
                    poor or insufficient controls       0.75      0.82      0.78        11
                                       processing       0.93      0.67      0.78        21
                 product category/characteristics       0.88      1.00      0.93         7
                                 pseudomonas spp.       0.86      0.86      0.86         7
                                 rubber fragments       0.80      0.44      0.57         9
                                       salmonella       0.98      0.99      0.99       262
                sesame seeds and products thereof       0.85      0.73      0.79        15
                    soybeans and products thereof       0.62      0.72      0.66        67
                    specified risk material (srm)       0.67      0.80      0.73         5
                                         spoilage       0.88      0.78      0.82         9
                       staphylococcal enterotoxin       0.90      1.00      0.95         9
                                   staphylococcus       1.00      0.57      0.73         7
                                           stones       1.00      0.67      0.80         6
                      sulfamethazine unauthorised       0.88      0.70      0.78        10
                              sulphates/sulphites       0.71      0.71      0.71         7
                                  sulphur dioxide       0.90      1.00      0.95        19
                    sulphur dioxide and sulphites       0.89      0.90      0.89        60
                                        tampering       1.00      1.00      1.00         9
                                taste disturbance       0.80      0.67      0.73         6
too high content of fluorinated organic chemicals       1.00      1.00      1.00         9
   too high content of tetrahydrocannabinol (THC)       1.00      1.00      1.00         6
                                            toxin       0.93      0.87      0.90        15
                      unauthorised colour sudan 4       0.88      1.00      0.93         7
                              unauthorised import       1.00      0.80      0.89         5
                            unauthorised operator       1.00      0.89      0.94         9
               unauthorised placing on the market       0.62      0.83      0.71         6
            unauthorised substance ethylene oxide       1.00      1.00      1.00        27
                unauthorised substance sildenafil       1.00      1.00      1.00         8
                              undeclared additive       0.89      0.73      0.80        11
                           undeclared constituent       1.00      0.20      0.33         5
                      unfit for human consumption       0.89      0.89      0.89         9
                                       vibrio spp       1.00      1.00      1.00         9
                                            virus       1.00      1.00      1.00         8
                                           walnut       0.33      0.12      0.18         8
                                           yeasts       1.00      0.88      0.93         8

                                         accuracy                           0.88      2720
                                        macro avg       0.88      0.81      0.82      2720
                                     weighted avg       0.88      0.88      0.87      2720
F1 Score: 0.824
